Dagenham Park CoS,Homework Club,Every Day,15:15:00,16:15:00,All,Free,Learning mentors,,School Road ,Dagenham,London,Barking & Dagenham,RM10 9QH,Everyday after school run by the learning mentors.,Homework Club,Education & Learning
Dagenham Park CoS,Maths Club,Wednesday,15:15:00,16:15:00,All,Free,Judith Peterka,,School Road ,Dagenham,London,Barking & Dagenham,RM10 9QH,For Key Stage 3 every Wednesday from 3 pm-4 pm in 105. Miss Buth Mr. Alexander and Miss Peterka and year 10 students offer extra Maths support. Everybody is welcome.,Maths Club,Education & Learning
Dagenham Park CoS,Science Club,Monday,15:15:00,16:15:00,All,Free,Miss Edwards,,School Road ,Dagenham,London,Barking & Dagenham,RM10 9QH,Miss Edwards and Miss Quershi offer a Science Club every Monday 3:15-4:15 in the Science rooms. It is open to KS2 and KS3.,Science Club,Education & Learning
Dagenham Park CoS,Geography Club,Wednesday,15:15:00,16:15:00,All,Free,,,School Road ,Dagenham,London,Barking & Dagenham,RM10 9QH,Mrs. Stanfford offers a Geography Club that takes place every Wednesday 3:15-4:15 in W7. It is i particular for students in Key Stage 3.,Geography Club,Education & Learning
Dagenham Park CoS,Latin Club,Thursday,15:15:00,16:15:00,All,Free,Miss Smiths,,School Road ,Dagenham,London,Barking & Dagenham,RM10 9QH,Miss Smith offers a Latin Club for KS3 every Thursday 3:15-4:15 in 208.,Latin Club,Language & Ethnic Identity
Dagenham Park CoS,Film Club,Wednesday,15:15:00,16:15:00,All,Free,Mr. Hayes,,School Road ,Dagenham,London,Barking & Dagenham,RM10 9QH,,Film Club,Film
Dagenham Park CoS,Boy's Street Dance,Monday,15:15:00,16:15:00,Boys,Free,Mrs. Watkins,,School Road ,Dagenham,London,Barking & Dagenham,RM10 9QH,Miss Watkins teaches Street Dance to Boys in Key Stage 3 every Monday 3:15-4:15 in 027. In the second half of summer term the group will start to practice for show works as well.,Boys Street Dance / show work,Dance
Dagenham Park CoS,Xellerate,Tueaday,15:15:00,16:15:00,All,Free,Mrs. Watkins,,School Road ,Dagenham,London,Barking & Dagenham,RM10 9QH,Every Tuesday 3:15-4:15 Miss Watkins offers a Dance Club for everybody who is interested and between 10 and 13 years old. Come to 027!,Xellerate – Dance,Dance
Dagenham Park CoS,Banditshed drama workshop,Tueaday,18:00:00,19:15:00,All,Free,Mrs. Baptiste,,School Road ,Dagenham,London,Barking & Dagenham,RM10 9QH,Miss Baptiste offers a drama workshop every Tuesday from 6-7:15 in 036. Everybody is welcome!,Banditshed drama workshop,Drama
Dagenham Park CoS,D plus/show work,Friday,15:15:00,16:15:00,All,Free,Mrs. Ymilss-Johnsson,,School Road ,Dagenham,London,Barking & Dagenham,RM10 9QH,Miss Ymills-Johnsson offeres a D-plus dance club. In the second half of summer term the group will also practice show works. Everybody is welcome every Friday 3:15-4:15 in 025.,D plus/show work,Dance
